2025-07-28 18:37:56 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 18:37:57 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 18:37:58 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 18:50:41 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 18:50:49 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 18:50:50 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 18:50:51 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 18:53:42 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 18:53:52 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 18:53:53 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 18:53:55 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 19:06:00 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 19:06:07 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 19:06:08 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 19:06:09 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 19:09:01 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 19:09:08 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 19:09:09 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 19:09:10 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 19:12:39 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 19:12:46 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 19:12:47 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 19:12:48 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 19:27:10 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 19:27:17 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 19:27:17 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 19:27:18 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 19:32:55 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 19:33:03 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 19:33:03 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 19:33:05 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 19:34:48 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 19:34:56 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 19:34:56 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 19:34:57 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 19:38:05 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 19:38:12 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 19:38:13 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 19:38:14 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 19:39:39 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 19:39:46 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 19:39:47 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 19:39:48 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 19:40:19 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 19:40:28 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 19:40:29 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 19:40:30 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 19:42:18 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 19:42:26 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 19:42:27 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 19:42:29 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 19:51:57 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 19:52:05 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 19:52:05 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 19:52:07 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-29 10:17:43 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-29 10:17:52 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-29 10:17:52 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-29 10:17:55 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-29 10:21:19 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-29 10:21:26 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
